timestamp,open,high,low,close,volume,log_return,realised_vol_24h,realised_vol_168h,vol_of_vol,volume_zscore,hl_range,regime_label
2026-01-03 06:00:00,3112.12,3117.76,3098.34,3098.34,7739.6551,-0.00443768178658044,0.022562550837670326,0.04365999046098582,0.005858045118725884,-0.26251247030641545,0.006267872473647202,0
2026-01-03 07:00:00,3098.33,3105.31,3076.0,3090.5,19239.551,-0.002533594080251288,0.02251138651892175,0.04374650701966756,0.005982450137744223,0.835101972550831,0.009483902281184257,0
2026-01-03 08:00:00,3090.49,3105.72,3083.86,3095.48,8553.1231,0.0016100928473243045,0.022204852623182617,0.04376571041309063,0.006087462574282568,-0.19631772281125018,0.007061909623063199,0
2026-01-03 09:00:00,3095.48,3110.56,3091.96,3100.9,6393.7838,0.0017494089717851025,0.02176045036494402,0.04378875379150301,0.006170884938321894,-0.40437377866576535,0.005998258570092525,0
2026-01-03 10:00:00,3100.9,3105.53,3097.05,3097.31,4433.0978,-0.0011583990866551796,0.021704278275203975,0.04370531062894692,0.0062447719258256805,-0.5897909611121155,0.0027378596265791987,0
2026-01-03 11:00:00,3097.31,3100.22,3091.99,3098.49,4806.4362,0.00038090319709055225,0.021373276681469298,0.04369283901861671,0.006275086250960731,-0.5541217289324184,0.00265613250325159,0
2026-01-03 12:00:00,3098.5,3105.58,3093.47,3105.04,5980.5075,0.002111701703393457,0.021415299275890094,0.043729102137244735,0.0062703216495323625,-0.44303958632922,0.003900110787622745,0
2026-01-03 13:00:00,3105.04,3107.99,3100.89,3103.03,4362.3509,-0.0006475442674566214,0.021460967111972137,0.0437268899492487,0.006240645288764661,-0.6007148797416088,0.0022880861609458846,0
2026-01-03 14:00:00,3103.03,3114.61,3101.5,3106.0,7292.9936,0.0009566712438229613,0.018817434215350398,0.043729828849287354,0.006158392556407241,-0.3213951603792142,0.0042208628461043556,0
2026-01-03 15:00:00,3106.0,3107.5,3100.28,3101.31,3961.679,-0.001511121852288272,0.018877484208800754,0.043744659998642126,0.006059013644179736,-0.6433053310946969,0.0023280484698400996,0
